171+0i 1.41055706970622+0i 0.845386935343684+0.0891679289198311i 0.532290670907879+0.0221857836132501i -0.00673992591485533+0i
172+0i 1.42286036055615+0i 0.844023354148937+0.0905905610591287i 0.53050448268712+0.0217563678898714i -0.00278490327891297+0i
173+0i 1.43625762140734+0i 0.842540092313775+0.0921108800328539i 0.528729560232921+0.021332659446536i 0.0013202628874413+0i
174+0i 1.45083856192287+0i 0.840928841665924+0.0937271894582548i 0.526958590589197+0.0209080649203019i 0.00559613234707302+0i
175+0i 1.46667474230243+0i 0.839183205669321+0.0954358183890534i 0.525176994096598+0.0204942080354987i 0.0100699242991878+0i
176+0i 1.48387094545423+0i 0.837296025322964+0.0972145179552655i 0.523364671080849+0.020080938212483i 0.0147795281284564+0i
177+0i 1.50241774384737+0i 0.835270701296115+0.0990493288840889i 0.521525967005704+0.0196714929334794i 0.0197166200317192+0i
178+0i 1.52230717404685+0i 0.833110488255504+0.10092115199574i 0.519655157013265+0.0192625863384304i 0.0248862009249756+0i
179+0i 1.54350832066595+0i 0.830824848050892+0.10278732668672i 0.517758895720567+0.0188377609346359i 0.0302736414044891+0i
180+0i 1.56586319873008+0i 0.82843274608973+0.104623727583713i 0.515853537221059+0.0183949430051209i 0.0358356093694557+0i
181+0i 1.58926067209769+0i 0.82594952185621+0.106397199933365i 0.513954081430065+0.0179281782475328i 0.0415382394468214+0i
182+0i 1.6135054531037+0i 0.823398852054585+0.108076967100755i 0.512080921824723+0.0174251120237399i 0.0473280648852095+0i
183+0i 1.63851451745248+0i 0.820793388050585+0.109631495732933i 0.510253201751012+0.0168841443064859i 0.0531718175605702+0i
184+0i 1.6640145560159+0i 0.818162414887453+0.111044991024776i 0.508500766692258+0.0162987961012425i 0.0589934152590529+0i
185+0i 1.68981546105348+0i 0.815527709792675+0.112293805125409i 0.50684328372117+0.0156637032428022i 0.0647422391216996+0i
186+0i 1.71572396371903+0i 0.812909313042947+0.113372387088903i 0.505300197997409+0.0149919282134498i 0.0703667459122263+0i
187+0i 1.74157278531151+0i 0.810322921986258+0.114290648910694i 0.503884490450382+0.0142922264682492i 0.0758262026213317+0i
188+0i 1.76722890871307+0i 0.807780895829803+0.115051839281415i 0.502609168470143+0.0135737986244717i 0.0810877002022773+0i
189+0i 1.79255247486315+0i 0.805294368492142+0.115673940181293i 0.50148172436094+0.0128484975451361i 0.0861222661986676+0i
190+0i 1.8174636946861+0i 0.802868657142266+0.116174877441528i 0.500500912321276+0.0121352457465014i 0.0909191005818357+0i
191+0i 1.84186973520931+0i 0.80050896336271+0.116579903395103i 0.499668134298405+0.0114438890852202i 0.0954641303334988+0i
192+0i 1.86564494990813+0i 0.798223096618351+0.116915960804866i 0.498986541098566+0.0107862928421272i 0.0997372583644584+0i
193+0i 1.88881390354251+0i 0.796004259627894+0.117213011686135i 0.498443399778619+0.0101762953079573i 0.103757789492905+0i
194+0i 1.91129197894403+0i 0.793858113425576+0.117484360225449i 0.498031153035388+0.00961241408064444i 0.107522229215867+0i
195+0i 1.93299716266192+0i 0.791788992871099+0.117747998864987i 0.497746127447347+0.0090929849195824i 0.111026502339619+0i
196+0i 1.9538563837717+0i 0.789801900345089+0.118013868044551i 0.497575591220298+0.00860738146484512i 0.114275551959177+0i
197+0i 1.97380076023414+0i 0.787901770676156+0.118288715708121i 0.497513373721448+0.00814253477131759i 0.117267725601324+0i
198+0i 1.99281260490843+0i 0.786089464885545+0.118574269436324i 0.49754974393721+0.00768776090716259i 0.120013804977096+0i
199+0i 2.01089013222741+0i 0.784365769395684+0.118863537854227i 0.497666006522024+0.00722451185757367i 0.122535353954525+0i
200+0i 2.02798529622082+0i 0.782736410064714+0.119146080405713i 0.497852115878285+0.00673498895443929i 0.124836997695316+0i
201+0i 2.04420862771513+0i 0.7811929445345+0.11941008097389i 0.49808024288977+0.00620175787171283i 0.126964160098975+0i
202+0i 2.05955633744487+0i 0.779736940433949+0.119648469830891i 0.498339556040553+0.00561343639746172i 0.128928297041146+0i
203+0i 2.07416121930133+0i 0.778357477294085+0.119850578349583i 0.498611796132424+0.00496511224329183i 0.130767954782575+0i
204+0i 2.08812883025137+0i 0.777047409925823+0.120004104093666i 0.498875769062971+0.00425250526032857i 0.132517453606771+0i
205+0i 2.10163476026948+0i 0.775789843823062+0.120113946403903i 0.499104582765001+0.0034834733227774i 0.134229944051224+0i
206+0i 2.1149113239167+0i 0.774564965670346+0.120172769069653i 0.499278520627069+0.00265452726824338i 0.135956699507259+0i
207+0i 2.12820539856934+0i 0.773349748476124+0.120185712535401i 0.49937292247412+0.0017789668701307i 0.137756045312261+0i
208+0i 2.14177263877397+0i 0.772119902060374+0.120158857694344i 0.499376594489815+0.000862754149887755i 0.139674464389923+0i
209+0i 2.15586100088051+0i 0.770853061575836+0.120094829887005i 0.499273509252604+-8.91323267545897e-05i 0.141759152293504+0i
210+0i 2.17068844949437+0i 0.769528292308965+0.120000200976513i 0.499064881474688+-0.00107437022217165i 0.144038271028075+0i
211+0i 2.18649299877811+0i 0.768122982740491+0.119881051494315i 0.498749274479612+-0.00208875117425625i 0.146544841365387+0i
212+0i 2.20342464086882+0i 0.766623143384551+0.119742308608599i 0.498340359789053+-0.00312435089232047i 0.149283379360804+0i
213+0i 2.22159933935992+0i 0.76501837968022+0.119582362160946i 0.49785774986668+-0.00418954092351492i 0.152249487957525+0i
214+0i 2.2411076665522+0i 0.763301127807341+0.119398280452152i 0.497322147078665+-0.00529031745840585i 0.155433134614602+0i
215+0i 2.26184023428691+0i 0.761482004398079+0.119184078197662i 0.496763169648328+-0.00642987179526655i 0.158789800466489+0i
216+0i 2.28370351756031+0i 0.759570441243851+0.118932805740708i 0.496211431626497+-0.00760597255071175i 0.162275995113049+0i
217+0i 2.30652819991852+0i 0.757583384750802+0.11863444176763i 0.495692702331291+-0.00881476267631345i 0.165842605638251+0i
218+0i 2.33006367690511+0i 0.755544909016586+0.118277409275255i 0.495234675349118+-0.0100517442638132i 0.169429282699805+0i
219+0i 2.354013588386+0i 0.753481405440665+0.117862456156445i 0.494851152268126+-0.0112926703536062i 0.172983500844926+0i
220+0i 2.37798544224563+0i 0.751429907239049+0.117374896167378i 0.494563101680751+-0.0125274953363696i 0.176433572767841+0i
221+0i 2.40161826049537+0i 0.749421786310883+0.116819558420118i 0.494372773704885+-0.0137307238547007i 0.179731201317152+0i
222+0i 2.42455075543648+0i 0.747488627963604+0.116198518972813i 0.494274010246575+-0.0148805754376459i 0.182836337186662+0i
